geography_type,geography_code,geography_name,state,remoteness,parent_geography_codes,latitude,longitude,area_sqkm,population,geography_vintage,reliability_flag
ndia_service_area,South East Metro,South East Metro,,Major Cities of Australia,,-32.02006297987152,115.94712957116519,249.9409,345057.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,South Eastern Sydney,South Eastern Sydney,,Major Cities of Australia,,-34.002809824481176,151.1362508420916,480.4785,868063.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,South Metro,South Metro,,Inner Regional Australia,,-32.50509054025396,115.83930912851606,3596.5947,441742.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,South West,South West,,Inner Regional Australia,,-34.06684669690255,116.0058843202802,24802.4119,210962.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,South Western Sydney,South Western Sydney,,Major Cities of Australia,,-34.221760152250276,150.42630859328597,6275.1998,1318283.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Southern Adelaide,Southern Adelaide,,Major Cities of Australia,,-35.157469692503184,138.56401033822587,663.0649,397006.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Southern Melbourne,Southern Melbourne,,Major Cities of Australia,,-38.06698588249639,145.52282029297507,1821.5424,717085.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Southern NSW,Southern NSW,,Inner Regional Australia,,-35.30775460442881,149.4498168762696,44532.961,228673.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Sydney,Sydney,,Major Cities of Australia,,-33.87042535473243,151.14513084252238,102.9406,621058.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,TAS North,TAS North,,Outer Regional Australia,,-40.77670756628079,147.64863883028048,19975.336,156393.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,TAS North West,TAS North West,,Outer Regional Australia,,-41.51102640865354,145.30768073384277,22524.7897,120091.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
